Date;Time;Home;Away;Attendance;Venue
01 December 2022;18:00 (20:30);Canada;Morocco;43,102;Al Thumama Stadium
01 December 2022;18:00 (20:30);Croatia;Belgium;43,984;Ahmed bin Ali Stadium
01 December 2022;22:00 (00:30);Costa Rica ;Germany;67,054;Al Bayt Stadium
01 December 2022;22:00 (00:30);Japan;Spain;44,851;Khalifa International Stadium
02 December 2022;18:00 (20:30);Korea Republic;Portugal;44,097;Education City Stadium
02 December 2022;18:00 (20:30);Ghana; Uruguay;43,443;Al Janoub Stadium
02 December 2022;22:00 (00:30);Cameroon;Brazil;85,986;Lusail Iconic Stadium
02 December 2022;22:00 (00:30);Serbia;Switzerland;41,378;Stadium 974
03 December 2022;18:00 (20:30);Netherlands;USA;44,846;Khalifa International Stadium
03 December 2022;22:00 (00:30);Argentina;Australia;45,032;Ahmed bin Ali Stadium
04 December 2022;18:00 (20:30);France;Poland;40,989;Al Thumama Stadium (Neutral Site)
04 December 2022;22:00 (00:30);England;Senegal;65,985;Al Bayt Stadium
05 December 2022;18:00 (20:30);Japan;Croatia;42,523;Al Janoub Stadium
05 December 2022;22:00 (00:30);Brazil;Korea Republic;43,847;Stadium 974
06 December 2022;18:00 (20:30);Morocco;Spain;44,667;Education City Stadium
06 December 2022;22:00 (00:30);Portugal;Switzerland;83,720;Lusail Iconic Stadium
09 December 2022;18:00 (20:30);Croatia;Brazil;43,893;Education City Stadium
09 December 2022;22:00 (00:30);Netherlands;Argentina;88,235;Lusail Iconic Stadium
10 December 2022;18:00 (20:30);Morocco;Portugal;44,198;Al Thumama Stadium
10 December 2022;22:00 (00:30);England;France;68,895;Al Bayt Stadium
13 December 2022;22:00 (00:30);Argentina;Croatia;88,966;Lusail Iconic Stadium
14 December 2022;22:00 (00:30);France;Morocco;68,294;Al Bayt Stadium
17 December 2022;18:00 (20:30);Croatia;Morocco;44,137;Khalifa International Stadium
18 December 2022;18:00 (20:30);Argentina;France;88,966;Lusail Iconic Stadium
